1.000000 -0.618034
2.000000 0.381966
3.000000 -0.236068
5.000000 0.145898
8.000000 -0.090170
13.000000 0.055728
21.000000 -0.034442
34.000000 0.021286
55.000000 -0.013156
89.000000 0.008131
144.000000 -0.005025
233.000000 0.003106
377.000000 -0.001919
610.000000 0.001186
987.000000 -0.000733
1597.000000 0.000453
2584.000000 -0.000280
4181.000000 0.000173
6765.000000 -0.000107
10946.000000 0.000066
17711.000000 -0.000041
28657.000000 0.000025
46368.000000 -0.000016
75025.000000 0.000010
121393.000000 -0.000006
196418.000000 0.000004
317811.000000 -0.000002
514229.000000 0.000001
832040.000000 -0.000001
1346269.000000 0.000001
2178309.000000 -0.000000
3524578.000000 0.000000
5702887.000000 -0.000000
9227465.000000 0.000000
14930352.000000 -0.000000
24157817.000000 0.000000
39088169.000000 -0.000000
63245986.000000 0.000000
102334155.000000 -0.000000
165580141.000000 -0.000000
267914296.000000 -0.000000
433494437.000000 -0.000000
701408733.000000 -0.000000
1134903170.000000 -0.000000
1836311903.000000 -0.000000
2971215073.000000 -0.000000
4807526976.000000 -0.000000
7778742049.000000 -0.000000
12586269025.000000 -0.000000
20365011074.000000 -0.000001
32951280099.000000 -0.000001
53316291173.000000 -0.000002
86267571272.000000 -0.000003
139583862445.000000 -0.000005
225851433717.000000 -0.000008
365435296162.000000 -0.000012
591286729879.000000 -0.000020
956722026041.000000 -0.000032
1548008755920.000000 -0.000052
2504730781961.000000 -0.000084
4052739537881.000000 -0.000136
6557470319842.000000 -0.000220
10610209857723.000000 -0.000357
17167680177565.000000 -0.000576
27777890035288.000000 -0.000933
44945570212853.000000 -0.001511
72723460248141.000000 -0.002441
117669030460994.000000 -0.003952
190392490709135.000000 -0.006393
308061521170129.000000 -0.010345
498454011879264.000000 -0.016724
806515533049393.000000 -0.027100
1304969544928657.000000 -0.043823
2111485077978050.000000 -0.070923
3416454622906707.000000 -0.114746
5527939700884757.000000 -0.185547
8944394323791464.000000 -0.300293
14472334024676220.000000 -1.486328
23416728348467684.000000 -0.167969
37889062373143904.000000 -1.652344
61305790721611584.000000 -5.820313
99194853094755488.000000 -1.007813
160500643816367070.000000 -6.828125
259695496911122560.000000 -7.828125
420196140727489660.000000 17.343750
679891637638612220.000000 -42.250000
1100087778366101900.000000 -24.937500
1779979416004714000.000000 -195.125000
2880067194370816000.000000 115.000000
4660046610375530500.000000 224.500000
7540113804746346500.000000 -488.500000
12200160415121877000.000000 -264.000000
19740274219868226000.000000 1296.000000
31940434634990100000.000000 -4330.000000
51680708854858326000.000000 280.000000
83621143489848426000.000000 -4048.000000
135301852344706760000.000000 4416.000000
218922995834555200000.000000 3488.000000
354224848179262000000.000000 14176.000000
573147844013817200000.000000 -35360.000000
927372692193079200000.000000 -21184.000000
